author,date,topic,doc_nb,word_nb,char_nb,doc_ids
Chris Matheson,2019-05-21,P8,5.780347e-04,   0.2132948,    1.345665,
Chris Matheson,2019-05-21,P9,1.450867e-01,  53.5369942,  337.761850,
Claire Perry,2019-04-23,P1,2.222222e-03,   0.2555556,    1.402222,
Claire Perry,2019-04-23,P10,2.222222e-03,   0.2555556,    1.402222,
Claire Perry,2019-04-23,P2,2.222222e-03,   0.2555556,    1.402222,
Claire Perry,2019-04-23,P3,2.222222e-03,   0.2555556,    1.402222,
Claire Perry,2019-04-23,P4,3.355556e-01,  38.5888889,  211.735556,
Claire Perry,2019-04-23,P5,1.577778e-01,  18.1444444,   99.557778,
Claire Perry,2019-04-23,P6,4.466667e-01,  51.3666667,  281.846667,uk.org.publicwhip/debate/2019-04-23a.614.3
Claire Perry,2019-04-23,P7,2.222222e-03,   0.2555556,    1.402222,
Claire Perry,2019-04-23,P8,2.222222e-03,   0.2555556,    1.402222,
Claire Perry,2019-04-23,P9,4.666667e-02,   5.3666667,   29.446667,
Claire Perry,2019-10-30,P1,1.466019e-01,  45.1533981,  246.291262,
Claire Perry,2019-10-30,P10,9.708738e-04,   0.2990291,    1.631068,
Claire Perry,2019-10-30,P2,9.708738e-04,   0.2990291,    1.631068,
Claire Perry,2019-10-30,P3,9.708738e-04,   0.2990291,    1.631068,
Claire Perry,2019-10-30,P4,3.980583e-02,  12.2601942,   66.873786,
Claire Perry,2019-10-30,P5,4.951456e-02,  15.2504854,   83.184466,
Claire Perry,2019-10-30,P6,9.708738e-04,   0.2990291,    1.631068,
Claire Perry,2019-10-30,P7,7.582524e-01, 233.5417476, 1273.864078,uk.org.publicwhip/debate/2019-10-30a.368.2
Claire Perry,2019-10-30,P8,9.708738e-04,   0.2990291,    1.631068,
Claire Perry,2019-10-30,P9,9.708738e-04,   0.2990291,    1.631068,
Daniel Zeichner,2019-05-21,P1,5.000000e-03,   0.2850000,    1.700000,
Daniel Zeichner,2019-05-21,P10,5.000000e-03,   0.2850000,    1.700000,
Daniel Zeichner,2019-05-21,P2,3.050000e-01,  17.3850000,  103.700000,
Daniel Zeichner,2019-05-21,P3,5.000000e-03,   0.2850000,    1.700000,
Daniel Zeichner,2019-05-21,P4,5.000000e-03,   0.2850000,    1.700000,
Daniel Zeichner,2019-05-21,P5,5.050000e-01,  28.7850000,  171.700000,uk.org.publicwhip/debate/2019-05-21a.605.3
Daniel Zeichner,2019-05-21,P6,5.000000e-03,   0.2850000,    1.700000,
Daniel Zeichner,2019-05-21,P7,5.000000e-03,   0.2850000,    1.700000,
Daniel Zeichner,2019-05-21,P8,1.550000e-01,   8.8350000,   52.700000,
Daniel Zeichner,2019-05-21,P9,5.000000e-03,   0.2850000,    1.700000,
Daniel Zeichner,2019-07-25,P1,8.333333e-03,   0.2833333,    1.558333,
Daniel Zeichner,2019-07-25,P10,8.333333e-03,   0.2833333,    1.558333,
Daniel Zeichner,2019-07-25,P2,8.333333e-03,   0.2833333,    1.558333,
Daniel Zeichner,2019-07-25,P3,8.333333e-03,   0.2833333,    1.558333,
Daniel Zeichner,2019-07-25,P4,8.333333e-03,   0.2833333,    1.558333,
Daniel Zeichner,2019-07-25,P5,2.583333e-01,   8.7833333,   48.308333,
